,year_flights,month,day,sched_dep_time,dep_delay,sched_arr_time,arr_delay,flight,air_time,distance,hour,minute,lat,lon,alt,tz,tzone,year_planes,engines,seats,year,month_weather,day_weather,hour_weather,wind_speed,wind_gust,visib
count,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,294896.0,288914.0,288914.0,288914.0,288914.0,288914.0,251043.0,258583.0,257966.0,294113.0,294113.0,294113.0,294113.0,294113.0,294113.0,294113.0
mean,2017.0,6.5567318647930115,15.821788020183387,1343.360388069014,15.083008925180403,1521.107705767457,7.10402311323314,1687.2966028701644,164.48942678096685,1160.3164607183548,13.168242363409473,26.536151728066844,35.37921544166469,-91.26446404617325,600.8931377503341,-5.876070387727836,2.258509452639886,2002.625339085336,1.9734591987872365,148.5975981330873,2017.0,6.543777391682789,15.786922033368127,8.79062129181641,9.574966755450454,11.018680242837274,9.36291160200331
std,0.0,3.414071948277815,8.793233328235019,477.824402576559,51.7932492752797,530.841880485308,55.32325886570669,1452.0064737120538,97.87289617943509,762.6759068725115,4.7513813384759915,19.556278078851054,5.9931985773336365,16.140859030922364,1062.1240031938205,1.165463022895065,1.8895765238048845,25.616935177780796,0.3120833098731576,87.14822298950081,0.0,3.4077602302083143,8.771863590642267,6.556274182495785,4.901187817168446,5.6401889162411045,1.8693638765731877
min,2017.0,1.0,1.0,111.0,-84.0,1.0,-98.0,1.0,20.0,93.0,1.0,0.0,21.318700790405277,-157.9219970703125,4.0,-10.0,1.0,0.0,1.0,1.0,2017.0,1.0,1.0,0.0,0.0,0.0,0.12
25%,2017.0,4.0,8.0,905.0,-6.0,1118.0,-20.0,518.0,99.0,636.0,9.0,7.0,29.99340057373047,-97.6698989868164,20.0,-6.0,1.0,1999.0,2.0,80.0,2017.0,4.0,8.0,3.0,5.7539,6.621473041999999,10.0
50%,2017.0,7.0,16.0,1345.0,-2.0,1536.0,-7.0,1332.0,139.0,1005.0,13.0,29.0,35.2140007019043,-84.4281005859375,125.0,-5.0,1.0,2002.0,2.0,149.0,2017.0,7.0,16.0,8.0,9.20624,10.594356867199998,10.0
75%,2017.0,10.0,23.0,1740.0,11.0,1950.0,13.0,2227.0,211.0,1598.0,17.0,44.0,41.4117012024,-80.29060363769531,748.0,-5.0,2.0,2008.0,2.0,191.0,2017.0,10.0,23.0,12.0,12.65858,14.567240692399997,10.0
max,2017.0,12.0,31.0,2359.0,1548.0,2359.0,1589.0,6988.0,712.0,4983.0,23.0,59.0,61.17440032958984,-68.8281021118164,6606.0,-5.0,8.0,2017.0,8.0,552.0,2017.0,12.0,31.0,23.0,32.22184,37.0802490352,10.0
